Date,IBIT,FBTC,BITB,ARKB,BTCO,EZBC,BRRR,HODL,BTCW,GBTC,BTC,Total
,,,,,,,,,,,,
11 Jan 2024,111.7,227,237.9,65.3,17.4,50.1,29.4,10.6,1,-95.1,-,655.3
12 Jan 2024,386,195.3,17.4,39.8,28.4,0,20.2,0,0,-484.1,-,203
15 Jan 2024,-,-,-,-,-,-,-,-,-,-,-,0
16 Jan 2024,212.7,102,50.2,122.3,31.9,0,15.3,7.3,0,-594.4,-,-52.7
17 Jan 2024,371.4,358.1,68.2,50.3,57.6,1.2,1.2,4.8,1.6,-460.6,-,453.8
18 Jan 2024,145.5,177.9,20.1,41.8,58.8,0,9.3,2.3,0,-582.3,-,-126.6
19 Jan 2024,201.5,222.3,56.7,62.6,63.4,0,10.4,14.2,2.9,-590.4,-,43.6
22 Jan 2024,260.6,158.7,41.6,65,5.6,4.7,9.7,6.8,0.4,-640.5,-,-87.4
23 Jan 2024,160.1,157.7,26.3,61.8,0,1.1,0,2.2,0,-515.3,-,-106.1
24 Jan 2024,66.2,125.7,19.1,24.9,19.9,1.2,9.1,4.5,0.4,-429.3,-,-158.3
25 Jan 2024,170.7,101,20,16.1,0,0,6.5,0,0,-394.1,-,-79.8
26 Jan 2024,87.1,100.1,30.9,46.4,0,1.2,1.8,2.4,0,-255.1,-,14.8
29 Jan 2024,198.4,208.2,20,17.2,3,0,0,0,0,-191.7,-,255.1
30 Jan 2024,299.2,119.2,21.9,16.8,6.3,2.5,0,0,2.1,-220.7,-,247.3
31 Jan 2024,116.2,232,17.8,14.8,1.5,0,0.6,2.4,0,-187.7,-,197.6
01 Feb 2024,163.9,35.8,4.2,15.9,0,0,0,0,0.7,-182,-,38.5
02 Feb 2024,105.8,78.9,11.5,22.6,0,2.5,0,2.4,0.9,-144.6,-,80
05 Feb 2024,137.3,38,0,0,0,0,0,0,0.7,-107.9,-,68.1
06 Feb 2024,45.2,37.7,11.3,8.6,0,0,0,2.4,1.1,-72.7,-,33.6
